,Name,Brand,Category,Size,Unit,Price,SellingPrice,Discount
301,Fried Gram 18 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,128,115,10.16
302,Rice Sona Masuri (Polish) Organic Town 1 Kg,storese,Grocery & Staples,1,kg,128,115,10.16
303,Sugar Free Gold ( 100 Sachets ) 100 g,storese,Grocery & Staples,100,gm,125,119,4.8
304,Liquid Jaggery Future Organics 280Gms,storese,Grocery & Staples,280,gm,125,119,4.8
305,Chintaku Podi (Tamarind Leaves Podi) Future Organics 100Gms,storese,Grocery & Staples,100,gm,125,119,4.8
306,Palm Sugar Future Organics 100 gms,storese,Grocery & Staples,100,gm,125,119,4.8
307,Curry Leaf Powder Future Organics 100 gms,storese,Grocery & Staples,100,gm,125,119,4.8
308,Nallanuvula Usiri Pudina Karam Future Organics 100 gms,storese,Grocery & Staples,100,gm,125,119,4.8
309,Rice Jeera Samba Town 1 Kg,storese,Grocery & Staples,1,kg,134,121,9.7
310,Avare Bele 18 Carat Town  500 Gms,storese,Grocery & Staples,500,gm,136,122,10.29
311,Jeera Shah Town 100 Gms,storese,Grocery & Staples,100,gm,136,122,10.29
312,Gobindo Bhog Town 1kg,storese,Grocery & Staples,1,kg,141,127,9.93
313,Green Moong 1kg-24 Crt,storese,Grocery & Staples,1,unit(s),145,131,9.66
314,Papaya Dry Town 100Gms,storese,Grocery & Staples,100,gm,166,133,19.88
315,Millet Barnyard Pesticides Free Town 1 Kg,storese,Grocery & Staples,1,kg,148,133,10.14
316,Moong Dal 18 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,148,133,10.14
317,Coriander Powder Sparsh 500 Gms,storese,Grocery & Staples,500,gm,140,133,5
318,Sambar Powder Sparsh 500 Gms,storese,Grocery & Staples,500,gm,140,133,5
319,Sundrop Nutrilite Oil 1 Ltr,storese,Grocery & Staples,1,ltr,135,134,0.74
320,Millet Foxtail Upma Rava Organic Town 1 Kg,storese,Grocery & Staples,1,kg,149,134,10.07
322,Cashewnut 2pc 18 Carat Town 100gms,storese,Grocery & Staples,100,gm,151,136,9.93
323,Pineapple Small Dry Town 100Gms,storese,Grocery & Staples,100,gm,171,137,19.88
324,Prunes Town 100 g,storese,Grocery & Staples,100,gm,171,137,19.88
325,Dried Kiwi Slices Town 100 g,storese,Grocery & Staples,100,gm,145,138,4.83
326,Black Currant Dry Town 100 g,storese,Grocery & Staples,100,gm,145,138,4.83
327,Dhania Powder MDH 500 Gms,storese,Grocery & Staples,500,gm,145,138,4.83
328,Lal Mirch Powder (Red Chilli Powder) MDH 500 Gms,storese,Grocery & Staples,500,gm,145,138,4.83
329,Coriander Powder MTR 500 Gms,storese,Grocery & Staples,500,gm,145,138,4.83
330,Haldi Powder (Turmeric Powder) MDH 500 Gms,storese,Grocery & Staples,500,gm,145,138,4.83
331,Badam Seeds 18 Carat Town 100 Gms,storese,Grocery & Staples,100,gm,154,139,9.74
332,Sunflower Oil Gemini 1 Ltr,storese,Grocery & Staples,1,ltr,140,139,0.71
333,Rice Diana (Diabetic) Organic Town 1 Kg,storese,Grocery & Staples,1,kg,155,140,9.68
334,Ghee GRB 200 Ml Jar,storese,Grocery & Staples,200,ml,142,141,0.7
335,Coco Powder Town 100 Gms,storese,Grocery & Staples,100,gm,148,141,4.73
336,Ayush Premium Gulkanda Future Organics 125gms,storese,Grocery & Staples,125,gm,150,143,4.67
337,Stevia Powder Future Organics 100 gms,storese,Grocery & Staples,100,gm,150,143,4.67
338,Black Pepper Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,150,143,4.67
339,Black Pepper Powder MDH 100 Gms,storese,Grocery & Staples,100,gm,150,143,4.67
340,Himalayan Pink Salt Future Organics 500 gms,storese,Grocery & Staples,500,gm,150,143,4.67
341,Badam Seeds 24 Carat Town 100gms,storese,Grocery & Staples,100,gm,160,144,10
342,Cashewnut 2pc 24 Carat Town 100 Gms,storese,Grocery & Staples,100,gm,160,144,10
343,Poppy Seeds 24 Carat Town 100 Gms,storese,Grocery & Staples,100,gm,160,144,10
344,Dates Seedless Lion 500 Gms,storese,Grocery & Staples,500,gm,154,146,5.19
345,Millet Foxtail Idly Rava Organic Town 1 Kg,storese,Grocery & Staples,1,kg,154,146,5.19
346,Millet Kodo (Harka) Organic Town 1 Kg,storese,Grocery & Staples,1,kg,164,148,9.76
347,Motor Dal Bodi Town 250 Gms,storese,Grocery & Staples,250,gm,165,149,9.7
348,Millet Proso (Baragu) Organic Town 1 Kg,storese,Grocery & Staples,1,kg,168,151,10.12
349,Safflola  Gold Losorb  Oil 1 Ltr,storese,Grocery & Staples,1,ltr,158,155,1.9
350,Pumpkin Seeds Dry Town Special 100g,storese,Grocery & Staples,100,gm,164,156,4.88
351,Cashew Whole 18 Carat Town 100 Gms,storese,Grocery & Staples,100,gm,174,157,9.77
352,Pineapple Dry Big Town 100Gms,storese,Grocery & Staples,100,gm,200,160,20
353,Phool Makhana Town 100 Gms,storese,Grocery & Staples,100,gm,168,160,4.76
354,Millet Brown Top (Korle) Town 500Gms,storese,Grocery & Staples,500,gm,180,162,10
355,Sprinklers Black Pepper Catch 100Gms,storese,Grocery & Staples,100,gm,170,162,4.71
356,Cold Pressed Virgin Coconut Oil Loil 210ml,storese,Grocery & Staples,210,ml,165,164,0.61
357,Amla Pickle Future Organics 160gm,storese,Grocery & Staples,160,gm,175,166,5.14
358,Dondakaya Pickle  Future Organics 160gms,storese,Grocery & Staples,160,gm,175,166,5.14
359,Garlic Pearl Pickle Future Organics 160gms,storese,Grocery & Staples,160,gm,175,166,5.14
360,Pickle Sweet Lemon With Chilli and Jaggery Madilu 150Gms,storese,Grocery & Staples,150,gm,175,166,5.14
361,Lemon Pickle Without Oil Future Organics 160gms,storese,Grocery & Staples,160,gm,175,166,5.14
362,Coriander Pickle  Future Organics 160gms,storese,Grocery & Staples,160,gm,175,166,5.14
363,Cashew Whole 24 Carat Town 100gms,storese,Grocery & Staples,100,gm,184,166,9.78
364,Cashew nut Organic Town 100Gms,storese,Grocery & Staples,100,gm,184,166,9.78
365,Tamarind 24 Carat Town 500 Gms,storese,Grocery & Staples,500,gm,184,166,9.78
366,Groundnut Oil Organic Pro Nature 500ml,storese,Grocery & Staples,500,ml,210,168,20
367,Cranberry Dry Town 100g,storese,Grocery & Staples,100,gm,178,169,5.06
368,Wheat Sambha Broken Town 1 Kg,storese,Grocery & Staples,1,kg,191,172,9.95
369,Groundnut Oil Filtered Safal 1 Ltr,storese,Grocery & Staples,1,ltr,175,174,0.57
370,Cold Pressed Organic Virgin Coconut Oil Loil 200ml,storese,Grocery & Staples,200,ml,175,174,0.57
371,Gourmet Penne Rigate Del Monte 500 Gms,storese,Grocery & Staples,500,gm,185,176,4.86
372,Del Monte Elbow Macroni Pasta 500 Gms,storese,Grocery & Staples,500,gm,185,176,4.86
373,Anjoor (Figs Dried) Town 100 Gms,storese,Grocery & Staples,100,gm,196,176,10.2
374,Amaranth Seeds Town 500 Gms,storese,Grocery & Staples,500,gm,199,179,10.05
375,Cardamom  24 Carat Town 25 Gms,storese,Grocery & Staples,25,gm,200,180,10
376,Groundnut Oil Refined Safal 1 Ltr,storese,Grocery & Staples,1,ltr,185,184,0.54
378,Wheat Grass Powder Organic Town 50Gms,storese,Grocery & Staples,50,gm,199,189,5.03
379,Pepper Tipli Honey Future Organics 100gms,storese,Grocery & Staples,100,gm,200,190,5
380,Idly Rava Organic Tattva Town 1 Kg,storese,Grocery & Staples,1,kg,214,193,9.81
381,Millet Little Upma Rava Organic Town 1 Kg,storese,Grocery & Staples,1,kg,214,193,9.81
382,Sundrop Oil Superlite 1 Ltr,storese,Grocery & Staples,1,ltr,195,194,0.51
383,Cold Pressed Virgin Sesame Oil Loil 250ml,storese,Grocery & Staples,250,ml,195,194,0.51
384,Rava Idli MTR 1 Kg,storese,Grocery & Staples,1,kg,205,195,4.88
385,Cardamom  18 Carat Town 25 Gms,storese,Grocery & Staples,25,gm,220,198,10
386,Ajwain Seeds Powder GZG 100Gms,storese,Grocery & Staples,100,gm,210,200,4.76
387,Coriander Seeds Premium Town 500 Gms,storese,Grocery & Staples,500,gm,223,201,9.87
388,Chia Seeds Town 250 Gms,storese,Grocery & Staples,250,gm,230,207,10
389,Pudina Pickle with Olive Oil Future Organics 160gms,storese,Grocery & Staples,160,gm,225,214,4.89
390,Byadgi Chilly  18 Carat Town 500 Gms,storese,Grocery & Staples,500,gm,239,215,10.04
391,Pista Salted Town 100 g,storese,Grocery & Staples,100,gm,231,219,5.19
392,Rice Basmathi 24 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,251,226,9.96
393,Rice Basumathi Brown Organic Town 1 Kg,storese,Grocery & Staples,1,kg,253,228,9.88
394,Spirulina Powder Organic Town 50 Gms,storese,Grocery & Staples,50,gm,240,228,5
395,Herbal Jaggery Brahmi Future Organics 100 gms,storese,Grocery & Staples,100,gm,250,238,4.8
396,Herbal Jaggery Shatavari Future Organics 100 gms,storese,Grocery & Staples,100,gm,250,238,4.8
397,Herbal Jaggery Ashwagandha Future Organics 100 gms,storese,Grocery & Staples,100,gm,250,238,4.8
398,Herbal Jaggery Punarnava Future Organics 100 gms,storese,Grocery & Staples,100,gm,250,238,4.8
399,Bella Liquid Jaggery Organic Avadata 700Gms,storese,Grocery & Staples,700,gm,250,238,4.8
400,Ghee Nandini 500 Ml,storese,Grocery & Staples,500,ml,245,244,0.41
401,Sugar Town 18 Crt 5 Kg,storese,Grocery & Staples,5,kg,275,248,9.82
402,Chakki Atta 24 Carat Town 5 kg,storese,Grocery & Staples,5,kg,280,252,10
403,Rice Sona Steam Town 5 Kg,storese,Grocery & Staples,5,kg,295,266,9.83
404,Ayush Natural Flax Seed Chia Seeds  peanut Butter Future Organics 160Gms,storese,Grocery & Staples,160,gm,300,285,5
405,Cold Pressed Virgin Farm Coconut Oil Future Organics 250ml,storese,Grocery & Staples,250,ml,300,285,5
406,Combo Pack (Moong Dal 1kg+Toor Dal Town 1 Kg) 1 Pack,storese,Grocery & Staples,1,unit(s),320,288,10
407,Wheat Grass Powder Madilu 100Gms,storese,Grocery & Staples,100,gm,325,309,4.92
408,Tamarind 1kg-24 Crt,storese,Grocery & Staples,1,unit(s),344,310,9.88
409,Rice Sona Raw 24 Carat Town 5 Kg,storese,Grocery & Staples,5,kg,351,316,9.97
410,Ghee GRB 500 Ml Pouch,storese,Grocery & Staples,1,unit(s),330,329,0.3
411,Hibiscus Red Flower Oil Future Organics 100 ml,storese,Grocery & Staples,100,ml,350,333,4.86
412,Jam Lotus Flower Future Organics 350gms,storese,Grocery & Staples,350,gm,350,333,4.86
413,Grapes Dry 18 Carat Town 1 kg,storese,Grocery & Staples,1,kg,371,334,9.97
414,Coconut Oil (KPL)-1 Ltr,storese,Grocery & Staples,1,unit(s),370,354,4.32
415,Combo Pack (Cashew nut Whole 100g+ Badam Seeds 100g + Dry Grapes 100g) 24crt Town 1 Pack,storese,Grocery & Staples,1,unit(s),398,358,10.05
417,Saffron Baby Brand 1 Gm,storese,Grocery & Staples,1,gm,399,379,5.01
418,Morning Miracle Health Drink Future Organics 250 gms,storese,Grocery & Staples,250,gm,400,380,5
419,Rice Boiled Meals Town 5 Kg,storese,Grocery & Staples,5,kg,460,414,10
420,Gir Cow Ghee Future Organics 175ml,storese,Grocery & Staples,175,ml,450,428,4.89
421,Chakki Atta Town 10 kgs bag,storese,Grocery & Staples,1,unit(s),480,432,10
422,Rice Ponny Raw Town 5 Kg,storese,Grocery & Staples,5,kg,498,448,10.04
423,Rice Bullet ( Colum ) Town 18 Crt 5 Kg,storese,Grocery & Staples,5,kg,498,448,10.04
424,Gir Cow Morning Ghee Future Organics 175ml,storese,Grocery & Staples,175,ml,500,475,5
425,Native Indian Cow Ghee Future Organics 175ml,storese,Grocery & Staples,175,ml,500,475,5
426,Gir Cow Turmeric  Ghee Future Organics 175ml,storese,Grocery & Staples,175,ml,500,475,5
428,Ghee Nandini 1 Ltr,storese,Grocery & Staples,1,ltr,490,489,0.2
429,Olive Oil Pomace Cesar 1Ltr,storese,Grocery & Staples,1,ltr,700,665,5
430,Olive Oil Extra Virgin Borges 500 ml,storese,Grocery & Staples,500,ml,750,699,6.8
431,Rice Sona Steam Town 25 Kg,storese,Grocery & Staples,25,kg,1400,1260,10
432,Rice Sona Raw 18 Carat Town 25 Kg,storese,Grocery & Staples,25,kg,1650,1485,10
433,Anjoor (Figs Dried) Town 1 kg,storese,Grocery & Staples,1,kg,1726,1553,10.02
434,Rice Sona Raw 24carat Town 25kg,storese,Grocery & Staples,25,kg,1800,1620,10
435,Apricot Dried Town 1 kg,storese,Grocery & Staples,1,kg,1964,1768,9.98
436,Chiroti Sooji Town 250 Gms,storese,Grocery & Staples,250,gm,11,9,18.18
437,Almond hair Oil Dabur 100ml,storese,Grocery & Staples,100,ml,65,62,4.62
438,Rice Flour 24 Carat Town 500 Gms,storese,Grocery & Staples,500,gm,34,27,20.59
439,Salt Crystal Annapurna 1 Kg,storese,Grocery & Staples,1,kg,16,15,6.25
440,Papad Rice Town 200 Gms,storese,Grocery & Staples,200,gm,85,77,9.41
441,Avalakki Red Pesticides Free Town 500 Gms,storese,Grocery & Staples,500,gm,60,54,10
442,Puliagare Powder MTR 200 Gms,storese,Grocery & Staples,200,gm,90,86,4.44
443,Rice Bullet ( Kolam ) Town 24 Crt 5 Kg,storese,Grocery & Staples,5,kg,529,476,10.02
444,Byadgi Chilly  24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,128,115,10.16
445,Cashewnut 4pc Town 100 Gms,storese,Grocery & Staples,100,gm,139,125,10.07
446,Pista 24 Carat Town 50 gms,storese,Grocery & Staples,50,gm,155,147,5.16
447,Pista 18 Carat Town 50 Gms,storese,Grocery & Staples,50,gm,145,138,4.83
448,Maida Organic Town 500 Gms,storese,Grocery & Staples,500,gm,39,37,5.13
449,Dry Lemon Grass Town 25gms,storese,Grocery & Staples,25,gm,25,23,8
450,Mustard (Small) 24 Carat Town 100 Gms,storese,Grocery & Staples,100,gm,23,21,8.7
451,Salt Aashirvad Freeflow 1 Kg,storese,Grocery & Staples,1,kg,18,17,5.56
452,Soya Bean Seeds Town 250gms,storese,Grocery & Staples,250,gm,34,31,8.82
453,Gram Flour 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,36,32,11.11
454,Fried Gram 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,33,30,9.09
455,Toor Dal Staff Town 500 Gms,storese,Grocery & Staples,500,gm,54,49,9.26
456,Urad Dal Staff Town 500 Gms,storese,Grocery & Staples,500,gm,59,53,10.17
457,Besan Flour Bombay Town 250 Gms,storese,Grocery & Staples,250,gm,56,50,10.71
458,Chakki Atta Organic Town 1 Kg,storese,Grocery & Staples,1,kg,71,64,9.86
459,Chilly Guntur staff Town 250 Gms,storese,Grocery & Staples,250,gm,69,62,10.14
460,Ajwain Seeds (Omam) Organic Town 100 Gms,storese,Grocery & Staples,100,gm,78,70,10.26
461,Millet Foxtail ( Navanakki) Town 1 Kg,storese,Grocery & Staples,1,kg,101,91,9.9
462,Millet Foxtail Organic Town 1 Kg,storese,Grocery & Staples,1,kg,119,107,10.08
463,Chilly Gundu Town 250 Gms,storese,Grocery & Staples,250,gm,174,157,9.77
464,Biulir Dal Bodi Town 250 Gms,storese,Grocery & Staples,250,gm,196,176,10.2
465,Dates Dry Town 1 kg,storese,Grocery & Staples,1,kg,434,391,9.91
466,Badam Seeds 18 Carat Town 1 kg,storese,Grocery & Staples,1,kg,1253,1128,9.98
681,Beverages Horlicks 1 Kg,storese,Beverages,1,kg,428,407,4.91
682,Health Drinks Horlicks 500 Gms,storese,Beverages,500,gm,229,218,4.8
683,Soft Drink Can Coca Cola 300 Ml,storese,Beverages,300,ml,40,38,5
684,Soft Drink Thums Up 750ml,storese,Beverages,750,ml,40,38,5
685,Tonic Water Indian Schweppes 300 Ml,storese,Beverages,300,ml,50,48,4
686,Energy Drink Red Bull 250 ml,storese,Beverages,250,ml,99,94,5.05
687,Kinley Mineral Water 1 Ltr,storese,Beverages,1,ltr,20,19,5
688,Soft Drink Sprite 1.25 ltr,storese,Beverages,1,unit(s),65,62,4.62
689,Tea Powder Red Label 1 kg,storese,Beverages,1,kg,453,430,5.08
690,Tea Powder Red Lable 2 Kg,storese,Beverages,2,kg,635,603,5.04
691,Tea Powder Red Label 250 g,storese,Beverages,250,gm,110,105,4.55
692,Tea Powder Red Label 100 Gms,storese,Beverages,100,gm,35,33,5.71
693,Tea Powder Tata Gold 500 Gms,storese,Beverages,500,gm,259,246,5.02
694,Tea Powder Taj Mahal 500Gms,storese,Beverages,500,gm,305,290,4.92
695,Tea Powder Taj Mahal 250 g,storese,Beverages,250,gm,155,147,5.16
696,Tea Powder Taj Mahal 100 Gms,storese,Beverages,100,gm,62,52,16.13
697,Taj Mahal Spicy Ginger Tea bags (25bags) 50gms,storese,Beverages,50,gm,150,143,4.67
698,Tea Powder Classic Tata Kanan Devan 1Kg,storese,Beverages,1,kg,259,246,5.02
699,Tea Powder Natural Care Red Label 250 g,storese,Beverages,250,gm,135,128,5.19
700,Green Tea Honey Lemon Good Morning (25 Tea Bags) Wagh Bakri 1No,storese,Beverages,1,unit(s),140,133,5
701,Tea Powder-3 Roses-250 gms,storese,Beverages,1,unit(s),145,138,4.83
702,Green Tea Shudh Kahwa (25 Tea Bags) Wagh Bakri 1No,storese,Beverages,1,unit(s),200,190,5
703,Tea Powder-3 Roses 500 Gms,storese,Beverages,500,gm,300,285,5
704,Masala Tea Powder Town 100 Gms,storese,Beverages,100,gm,80,64,20
705,Coffee Powder Instant Bru Gold 50Gms,storese,Beverages,50,gm,145,138,4.83
706,Soft Drink Sprite 750 Ml,storese,Beverages,750,ml,40,38,5
707,Fruit Drinks Litchi Delight Tropicana 1 Ltr,storese,Beverages,1,ltr,110,105,4.55
708,Fruit Drinks Pomegranate Tropicana 1 ltr,storese,Beverages,1,ltr,110,105,4.55
709,Fruit Drinks Cranberry Tropicana 1 ltr,storese,Beverages,1,ltr,110,105,4.55
710,Fruit Drinks Mixed Fruit 100% Tropicana 1 Ltr,storese,Beverages,1,ltr,135,128,5.19
711,Fruit Drinks Orange Real 1 Ltr,storese,Beverages,1,ltr,99,94,5.05
712,Thick Tomato classic Soup Knorr 53gms,storese,Beverages,53,gm,55,52,5.45
713,Health Drinks Bournvita 200 Gms,storese,Beverages,200,gm,107,102,4.67
714,Fruit Drinks Litchi Real 1 Ltr,storese,Beverages,1,ltr,99,94,5.05
715,Fruit Drinks Maaza 150 Ml,storese,Beverages,150,ml,10,9,10
716,Soya Milk Sofit 200ml,storese,Beverages,200,ml,30,29,3.33
717,Slice 600 ml,storese,Beverages,600,ml,35,33,5.71
718,Fruit Drinks Maaza 600 Ml,storese,Beverages,600,ml,40,38,5
719,Soft Drink Fanta 750ml,storese,Beverages,750,ml,40,38,5
720,Soft Drink Can Sprite 300 Ml,storese,Beverages,300,ml,40,38,5
721,Soft Drink Coke Cola 750ml,storese,Beverages,750,ml,40,38,5
722,Coffee Filter Decoction Traditional ID Fresh (5 Sachets) 1Box,storese,Beverages,1,unit(s),50,48,4
723,Masala Nimbu Pani smoodies 200ml,storese,Beverages,200,ml,50,48,4
724,Aam Ka Panna Smoodies 200ml,storese,Beverages,200,ml,50,48,4
725,Milk Drink Strawberry Chocolate Jaggery Again 200ml,storese,Beverages,200,ml,50,48,4
726,Fruit Drinks Pomegranate Real 1 Ltr,storese,Beverages,1,ltr,109,104,4.59
727,Milk Drink Almonds Cashews Dates Again 200ml,storese,Beverages,200,ml,50,48,4
728,Drinking Yoghurt Alphonso Mango Honey Again 200ml,storese,Beverages,200,ml,50,48,4
729,Drinking Yoghurt Carrot Orange Banana Again 200ml,storese,Beverages,200,ml,50,48,4
730,Jal Jeera Masala Powder MDH 100 Gms,storese,Beverages,100,gm,53,49,7.55
731,Tea Powder 3 Roses 100 gms,storese,Beverages,100,gm,58,55,5.17
732,Fruit Drinks Maaza 1.5Ltr,storese,Beverages,1.5,ltr,75,71,5.33
733,Pomegranate Paper Boat 250ml (Pack of 3),storese,Beverages,3,unit(s),105,100,4.76
734,Spice Sip Cinnamon 6 Tea Bags 1Box,storese,Beverages,1,unit(s),45,43,4.44
735,Soft Drink Fanta 1.25Ltr,storese,Beverages,1.25,ltr,65,62,4.62
736,Sugar Cubes Daurala 500 g,storese,Beverages,500,gm,63,60,4.76
737,Soft Drink Sprite 2.25 ltr,storese,Beverages,1,unit(s),95,90,5.26
738,Mighty Mango smoodies 200ml,storese,Beverages,200,ml,70,67,4.29
739,Groove With Guava smoodies 200ml,storese,Beverages,200,ml,70,67,4.29
740,Coffee Powder Instant Bru Gold Jar 25Gms,storese,Beverages,25,gm,73,69,5.48
741,Nimbu Pani Paper Boat 250ml (Pack of 3),storese,Beverages,3,unit(s),75,71,5.33
742,Coffee Powder Instant Nescafe Classic 25 Gms,storese,Beverages,25,gm,75,71,5.33
743,Coffee Filter Decoction Traditional ID Fresh 1 No,storese,Beverages,1,unit(s),80,76,5
744,Soft Drink Coca Cola 750 ml,storese,Beverages,750,ml,45,43,4.44
745,Alphanso Aamras Paper Boat 250ml (Pack of 3),storese,Beverages,3,unit(s),90,86,4.44
746,Fruit Drinks Pineapple Real 1 Ltr,storese,Beverages,1,ltr,92,87,5.43
747,Coffee Powder Cothas 200Gms,storese,Beverages,200,gm,94,89,5.32
748,Energy Drink Monster 350 ml,storese,Beverages,350,ml,95,90,5.26
749,Coffee Powder Cothas 100gms,storese,Beverages,100,gm,48,46,4.17
750,Soft Drink Coco Cola 750ML,storese,Beverages,750,ml,40,38,5
751,Soft Drink Fanta 2.25Ltr,storese,Beverages,2.25,ltr,95,90,5.26
752,Real Mixed Fruit 1 Ltr,storese,Beverages,1,ltr,99,94,5.05
753,Fruit Drinks Mango Real 1 Ltr,storese,Beverages,1,ltr,99,94,5.05
754,Fruit Drinks Guava Minute Maid 1Ltr,storese,Beverages,1,ltr,99,94,5.05
755,Fruit Drinks Apple Real 1l,storese,Beverages,1,ltr,100,95,5
756,Jhakaas Jamun Smoodies 200ml,storese,Beverages,200,ml,100,95,5
757,Lachak Litchi Smoodies 200ml,storese,Beverages,200,ml,100,95,5
758,Fruit Drinks Cranberry Real 1 ltr,storese,Beverages,1,ltr,109,104,4.59
760,Crush Strawberry Malas 750 ml,storese,Beverages,750,ml,145,138,4.83
761,Crush Mango Malas 750 ml,storese,Beverages,750,ml,145,138,4.83
762,Crush Pineapple Malas 750 ml,storese,Beverages,750,ml,145,138,4.83
763,Crush Orange Malas 750 ml,storese,Beverages,750,ml,145,138,4.83
764,Drumstick and Stevia Tea Future Organics 60 gms,storese,Beverages,60,gm,150,143,4.67
765,Badam Thandai Paper Boat 250ml (Pack of 3),storese,Beverages,3,unit(s),150,143,4.67
766,Crush Kiwi Malas 750 ml,storese,Beverages,750,ml,165,157,4.85
767,Coffee Powder Greenlabel 500 Gms,storese,Beverages,500,gm,168,160,4.76
768,Coffee Powder Instant  Nescafe Sunrise 100 Gms,storese,Beverages,100,gm,190,181,4.74
769,Tea Powder Tata Agni 1Kg,storese,Beverages,1,kg,220,209,5
770,Health Drinks Boost 500 Gms,storese,Beverages,500,gm,234,222,5.13
771,Health Drinks Royal Chocolate Complan 500 Gms,storese,Beverages,500,gm,280,266,5
772,Coffee Powder Cafe Chic Maverick and Farmer 250Gms,storese,Beverages,250,gm,320,304,5
773,Crush Blueberry Malas 750 ml,storese,Beverages,750,ml,320,304,5
774,Health Drinks Boost Refill 750 Gms,storese,Beverages,750,gm,351,330,5.98
775,Coffee Powder Instant  Nescafe Sunrise 200 Gms,storese,Beverages,200,gm,350,333,4.86
776,Coffee Powder Parama Maverick and Farmer 250Gms,storese,Beverages,250,gm,370,352,4.86
777,Coffee Powder Tall Dark Handsome Maverick and Farmer 250Gms,storese,Beverages,250,gm,400,380,5
778,Coffee Powder Say Hello to Mallow Maverick and Farmer 250Gms,storese,Beverages,250,gm,400,380,5
779,Super Sugarcane smoodies 200ml,storese,Beverages,200,ml,50,48,4
780,Soda Extra Punch Kinley 750 Ml,storese,Beverages,750,ml,20,19,5
781,Soft Drink Sprite 1.75 ltr,storese,Beverages,1,unit(s),80,76,5
782,Bold Berries smoodies 200ml,storese,Beverages,200,ml,80,76,5
783,Coffee Powder Bru 500 g,storese,Beverages,500,gm,368,350,4.89
784,Health Drinks Bournvita 500 Gms,storese,Beverages,500,gm,204,194,4.9
786,Cookies Choco Nut UNIBIC 75Gms,storese,Branded Foods,75,gm,25,24,4
787,Choco Fills Dark Fantasy Sunfeast75 gms,storese,Branded Foods,1,unit(s),30,29,3.33
788,Biscuit Hide and Seek Vanilla Black Bourbon Parle 100Gms,storese,Branded Foods,100,gm,30,29,3.33
790,Choco Chip Britannia Good Day 100 gms,storese,Branded Foods,100,gm,30,29,3.33
791,Cream and Onion American Style Lays 27 gms,storese,Branded Foods,27,gm,10,10,0
792,Nice Time Britannia 80 gms,storese,Branded Foods,80,gm,10,10,0
793,Dosa Breakfast Mix MTR 500 Gms,storese,Branded Foods,500,gm,110,105,4.55
794,Idli Rava Breakfast Mix MTR 500 Gms,storese,Branded Foods,500,gm,110,105,4.55
795,Spread Hazelnut Nutella 160Gms,storese,Branded Foods,160,gm,200,190,5
796,Peanut Butter Crunchy Sundrop 924 Gms,storese,Branded Foods,924,gm,285,271,4.91
797,Badam Powder MTR 1 Kg Jar,storese,Branded Foods,1,kg,395,375,5.06
798,Chocolate Double Mint Wrigleys 4.8Gms,storese,Branded Foods,4.8,gm,10,9,10
799,Bar One Nestle 28 gms,storese,Branded Foods,28,gm,10,10,0
800,Biscuit Cashew Cookies Good Day-58 Gms,storese,Branded Foods,1,unit(s),10,10,0
801,Biscuit Krack Jack Parle Rs.10 Pack,storese,Branded Foods,1,unit(s),10,10,0
802,Sunfeast Moms Magic Fruit and Milk Biscuit 60Gms,storese,Branded Foods,60,gm,10,10,0
803,Noodles Yippee Classic Sunfeast 70 Gms,storese,Branded Foods,70,gm,12,11,8.33
804,Milkybar Nestle (Rs.5 x 4 Nos) 1 Pack,storese,Branded Foods,1,unit(s),20,19,5
805,Nice Time Britannia 80 gms (Pack of 2),storese,Branded Foods,2,unit(s),20,19,5
806,Parle G 130 gms (Pack of 2),storese,Branded Foods,2,unit(s),20,19,5
807,Biscuit Time Pass Britannia 150gms,storese,Branded Foods,150,gm,20,19,5
808,Noodles  Masala Yippee Magic Sunfeast 70 Gms (Pack of 2),storese,Branded Foods,2,unit(s),24,23,4.17
809,Vermicelli Roasted MTR 150Gms,storese,Branded Foods,150,gm,25,24,4
810,Vermicelli  Rice Anil 200 Gms,storese,Branded Foods,200,gm,26,25,3.85
811,Papad Sabbakki Town 100 Gms,storese,Branded Foods,100,gm,28,25,10.71
812,Papad Fryums Bat Town 200 Gms,storese,Branded Foods,200,gm,30,27,10
813,Papad Fryums Boti Papad Town 200 Gms,storese,Branded Foods,200,gm,30,27,10
814,Papad Fryums Wheel Town 200 Gms,storese,Branded Foods,200,gm,30,27,10
815,Chikki Groundnut Town 100g,storese,Branded Foods,100,gm,32,28,12.5
816,Biscuit Monaco Parle 200Gms,storese,Branded Foods,200,gm,30,29,3.33
817,Cadbury Oreo 120 gms,storese,Branded Foods,120,gm,30,29,3.33
818,UNIBIC Choco Chip Cookies 75Gms,storese,Branded Foods,75,gm,30,29,3.33
819,Sauce Chilly Town 200 Ml,storese,Branded Foods,200,ml,40,32,20
820,Parle Milano Choco and Hazelnut Chocolate Chip 60 g,storese,Branded Foods,60,gm,35,33,5.71
821,Jim Jam Britannia Treat 150 gms,storese,Branded Foods,150,gm,35,33,5.71
822,Soya Chunks Town 250 Gms,storese,Branded Foods,250,gm,38,34,10.53
