,Name,Brand,Category,Size,Unit,Price,SellingPrice,Discount
68,Chhole Masala Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,63,60,4.76
69,Kitchen King Masala Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,65,62,4.62
70,Pav Bhaji Masala Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,66,63,4.55
71,Amchur Powder Everest Dry mango 100 Gms,storese,Grocery & Staples,100,gm,70,67,4.29
72,Batter Idly and Dosa Paaka 1Kg,storese,Grocery & Staples,1,kg,75,71,5.33
73,Sambar Powder MTR-200 Gms,storese,Grocery & Staples,200,gm,90,86,4.44
74,Rice Tamarind/ Puliagare Paste MTR 200 Gms,storese,Grocery & Staples,200,gm,90,86,4.44
75,Turmeric Powder Sparsh 500 Gms,storese,Grocery & Staples,500,gm,130,124,4.62
76,Chilli Powder Sparsh 500 Gms,storese,Grocery & Staples,500,gm,130,124,4.62
77,Sundrop Oil Heart 1 Ltr,storese,Grocery & Staples,1,ltr,210,209,0.48
78,Methi Staff Town 100 Gms,storese,Grocery & Staples,100,gm,10,9,10
79,Vermicelli Seviyan MTR 150 Gms,storese,Grocery & Staples,150,gm,16,15,6.25
80,Vermicelli Bambino 150 Gms,storese,Grocery & Staples,150,gm,16,15,6.25
81,Vermicelli Roasted Short Anil 180 Gms,storese,Grocery & Staples,180,gm,17,16,5.88
82,Methi 18 Carat Town 100 Gms,storese,Grocery & Staples,100,gm,18,16,11.11
83,Mustard Oil Town 165ml,storese,Grocery & Staples,165,ml,65,52,20
84,Maida Staff Town 500 Gms,storese,Grocery & Staples,500,gm,20,18,10
85,Sada Sorshe Town 100 Gms,storese,Grocery & Staples,100,gm,20,18,10
86,Methi Organic Town 100Gms,storese,Grocery & Staples,100,gm,21,19,9.52
87,Mustard (Big) Town 100 Gms,storese,Grocery & Staples,100,gm,23,21,8.7
88,Salt Powder 24 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,23,21,8.7
89,Mustard Black Organic Town 100 g,storese,Grocery & Staples,100,gm,24,22,8.33
90,Maida Town 500 Gms,storese,Grocery & Staples,500,gm,26,23,11.54
91,Sugar Bura Town 200 Gms,storese,Grocery & Staples,200,gm,25,23,8
92,Mustard Yellow Town 100 Gms,storese,Grocery & Staples,100,gm,26,23,11.54
93,Sugar Diamond White Town 200Gms,storese,Grocery & Staples,200,gm,26,23,11.54
94,Gulabi Gram 18 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,26,23,11.54
95,Sooji Regular Town 500 Gms,storese,Grocery & Staples,500,gm,26,23,11.54
96,Palav Leaves (Bay Leaf) Town 50 Gms,storese,Grocery & Staples,50,gm,25,23,8
97,Lemon Salt Town 50 Gms,storese,Grocery & Staples,50,gm,25,23,8
98,Corn Flour Town 100 Gms,storese,Grocery & Staples,100,gm,26,23,11.54
99,Tasting Powder Town 50 Gms,storese,Grocery & Staples,50,gm,25,23,8
100,Sugar Breakfast Town 200 Gms,storese,Grocery & Staples,200,gm,25,23,8
101,Sugar Icing Town 200 Gms,storese,Grocery & Staples,200,gm,25,23,8
102,Cooking Soda 100gms,storese,Grocery & Staples,100,gm,25,23,8
103,Sprinklers Sendha Namak Catch 50Gms,storese,Grocery & Staples,50,gm,24,23,4.17
104,Gulabi Gram 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,28,25,10.71
105,Macaroni Town 200 Gms,storese,Grocery & Staples,200,gm,28,25,10.71
106,Wheat Broken Town 250 Gms,storese,Grocery & Staples,250,gm,30,27,10
107,Turmeric Powder Prasastha 100 Gms,storese,Grocery & Staples,100,gm,28,27,3.57
108,Til Ram Town 100 Gms,storese,Grocery & Staples,100,gm,31,28,9.68
109,Fried Gram 18 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,31,28,9.68
110,Coriander Powder Eastern 100Gms,storese,Grocery & Staples,100,gm,30,29,3.33
111,Black Salt Crystal Town 200 g,storese,Grocery & Staples,200,gm,31,29,6.45
112,Sprinklers Dahi Masala Catch 50Gms,storese,Grocery & Staples,50,gm,30,29,3.33
113,Red Chilli Powder (De Stemmed) Prasastha 100 Gms,storese,Grocery & Staples,100,gm,30,29,3.33
114,Gulabi Gram staff Town 250 Gms,storese,Grocery & Staples,250,gm,33,30,9.09
115,Salt Crystal Town 1 Kg (Pack of 2),storese,Grocery & Staples,2,unit(s),33,30,9.09
116,Turmeric Powder MTR 100 Gms,storese,Grocery & Staples,100,gm,32,30,6.25
117,Jeera Powder Town 50 Gms,storese,Grocery & Staples,50,gm,33,30,9.09
118,Sprinklers Iodized Table Salt Catch 200Gms,storese,Grocery & Staples,200,gm,32,30,6.25
119,Avalakki (Poha) Thick Staff Town 500g,storese,Grocery & Staples,500,gm,34,31,8.82
120,Sabakki (Sabudana) Nylon Town 250 Gms,storese,Grocery & Staples,250,gm,34,31,8.82
121,Sabbakki Special Small (Sabudana small) Town 250 Gms,storese,Grocery & Staples,250,gm,34,31,8.82
122,Flax Seeds Organic Town 100 gm,storese,Grocery & Staples,100,gm,34,31,8.82
123,Marati Moggu Town 25 Gms,storese,Grocery & Staples,25,gm,34,31,8.82
