Name,Brand,Category,Size,Unit,Price,SellingPrice,Discount
Naturo Mango Blast Spicy Raw Mango Bars 100G,simplinamdharis,Beverages,100.0,gm,50.0,50.0,0.0
Paperboat Aam Panna250Ml - Paper Boat,simplinamdharis,Beverages,250.0,ml,30.0,25.5,15.0
Arya Protein Energy Drink Chocolate 300G,simplinamdharis,Beverages,300.0,gm,249.0,249.0,0.0
Amul Vanilla Milk Shake 200Ml,simplinamdharis,Beverages,200.0,ml,25.0,25.0,0.0
Rise Up Coffee Aroma Platinum 250 G,simplinamdharis,Beverages,250.0,gm,160.0,160.0,0.0
Bayars 80 Degree Coffee 200 G,simplinamdharis,Beverages,200.0,gm,90.0,90.0,0.0
Green Tea 100G(Tin) - Organic India,simplinamdharis,Beverages,100.0,gm,230.0,230.0,0.0
Fruit & Nut Chocolate - Tango,simplinamdharis,Beverages,40.0,gm,30.0,30.0,0.0
Paper Boat Guava 1 Ltr,simplinamdharis,Beverages,1.0,ltr,110.0,99.0,10.0
Structured Alkaline Water 500Ml - Dionna,simplinamdharis,Beverages,500.0,ml,48.0,48.0,0.0
New Appy 160 Ml - Frooti,simplinamdharis,Beverages,160.0,ml,10.0,10.0,0.0
Red Label Natural Care 100 Gm,simplinamdharis,Beverages,100.0,gm,52.0,52.0,0.0
Dabur Glucose D 125G,simplinamdharis,Beverages,125.0,gm,27.0,27.0,0.0
Body Buddy Caramel Coffee - Zago,simplinamdharis,Beverages,330.0,ml,120.0,120.0,0.0
Sericha Green Apple Tea Bags 30S,simplinamdharis,Beverages,30.0,unit(s),300.0,300.0,0.0
Blood Orange 14 Tb - The Hillcart Tales,simplinamdharis,Beverages,14.0,unit(s),425.0,425.0,0.0
Bounce Super Water Perky Peach 500 Ml,simplinamdharis,Beverages,500.0,ml,40.0,40.0,0.0
B Natural Guava Gush 1000Ml,simplinamdharis,Beverages,1000.0,ml,105.0,80.0,23.81
Digest 300 Ml - Ausum Tea,simplinamdharis,Beverages,300.0,ml,70.0,70.0,0.0
Aam Ka Panna 100% Natural No Added Sugar 200 Ml - Smoodies,simplinamdharis,Beverages,200.0,ml,50.0,50.0,0.0
Ausum Tea Petrichor 75 G,simplinamdharis,Beverages,75.0,gm,475.0,475.0,0.0
Ausum Tea Spanish Sangria 90 G,simplinamdharis,Beverages,90.0,gm,525.0,525.0,0.0
Green Label Coffee Pouch 500Gm - Bru,simplinamdharis,Beverages,500.0,gm,168.0,168.0,0.0
Coffee Sprinkles Autumn Spice Pack Of 5 - Snapin,simplinamdharis,Beverages,1.0,unit(s),99.0,99.0,0.0
Smoodies - Mighty Mango 200 Ml,simplinamdharis,Beverages,200.0,ml,70.0,70.0,0.0
Health Drink 750Gm Box - Boost,simplinamdharis,Beverages,750.0,gm,351.0,351.0,0.0
Nescafe 25G Jar,simplinamdharis,Beverages,25.0,gm,75.0,75.0,0.0
Almond Chocolate - Tango,simplinamdharis,Beverages,40.0,gm,30.0,30.0,0.0
Dilmah-Sencha Green 50Gm,simplinamdharis,Beverages,50.0,gm,360.0,360.0,0.0
Tulsi Chai Masala 100Gm - Organic India,simplinamdharis,Beverages,100.0,gm,230.0,230.0,0.0
Alo Frut Guava  Juice 300 Ml,simplinamdharis,Beverages,300.0,ml,40.0,40.0,0.0
Stevia Leaf 50G - Swee10,simplinamdharis,Beverages,50.0,gm,95.0,95.0,0.0
Alo Frut Anaar Juice 300 Ml,simplinamdharis,Beverages,300.0,ml,40.0,40.0,0.0
Alo Frut  Mosambi Juice 300 Ml,simplinamdharis,Beverages,300.0,ml,40.0,40.0,0.0
Filter Chicory Mix Instant Coffee 100Gm - Tgl Co,simplinamdharis,Beverages,100.0,gm,299.0,299.0,0.0
Bounce Super Water Green Apple 500 Ml,simplinamdharis,Beverages,500.0,ml,40.0,40.0,0.0
Dilmah-Ginger 50Gm,simplinamdharis,Beverages,50.0,gm,260.0,260.0,0.0
Fevo Fresh 250Ml,simplinamdharis,Beverages,250.0,ml,80.0,80.0,0.0
Organic Vegan Apricot 1Ltr - Hollinger,simplinamdharis,Beverages,1.0,ltr,495.0,495.0,0.0
Amul Pro 500G,simplinamdharis,Beverages,500.0,gm,185.0,185.0,0.0
Paper Boat Anar 1 Ltr,simplinamdharis,Beverages,1.0,ltr,140.0,140.0,0.0
Fevo Zesty 250Ml,simplinamdharis,Beverages,250.0,ml,80.0,80.0,0.0
Pineaaple Juice With Pulp 250Ml - Vinut,simplinamdharis,Beverages,250.0,ml,40.0,40.0,0.0
