_id,box_color,filter_color,id_product,is_restaurant,min_quantity,mrp,mycart,offer,realization,selling_price,size,size_measuring_unit,sku,stock,tax,p__id,p_actual_price,p_article_no,p_brand,p_category1,p_category1_id,p_category2,p_category2_id,p_category3,p_category3_id,p_description,p_id_category,p_mrp,p_name,p_pic,p_selling_price,p_spec,p_tags,p_wishlist
2120608,,,57713,0,1,375,0,,264.82,375.0,1 PC,,1006326,10,18,57713,0,800010700,3M,Household,356,Kitchen & Dining,373,KITCHEN ITEMS,374,HANDLED COTTON MOP,374,0,HANDLED COTTON MOP,"[{'_id': '75040', 'pic': ' uploads/product/209988.jpg ', 'pic_thumb': ''}, {'_id': '75486', 'pic': ' uploads/product/209988.jpg ', 'pic_thumb': ''}, {'_id': '75935', 'pic': ' uploads/product/209988.jpg ', 'pic_thumb': ''}, {'_id': '76359', 'pic': ' uploads/product/209988.jpg ', 'pic_thumb': ''}, {'_id': '76808', 'pic': ' uploads/product/209988.jpg ', 'pic_thumb': ''}, {'_id': '77225', 'pic': ' uploads/product/209988.jpg ', 'pic_thumb': ''}, {'_id': '78759', 'pic': 'uploads/product/209988.jpg', 'pic_thumb': ''}, {'_id': '81941', 'pic': 'uploads/product/209988.jpg', 'pic_thumb': ''}, {'_id': '85123', 'pic': 'uploads/product/209988.jpg', 'pic_thumb': ''}, {'_id': '88305', 'pic': 'uploads/product/209988.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1233579', 'specification': 'Description', 'value': 'HANDLED COTTON MOP'}, {'_id': '1233580', 'specification': 'About', 'value': 'Unique scrubby strips help you clean tough stains. Sturdy handle helps you put necessary pressure while cleaning.100% bleached cotton that absorbs water. Changeable refills for economical cleaning!'}]",HANDLED COTTON MOP,0
2120692,,,58748,0,1,90,0,,70.62,90.0,500 GM,,1006733,10,18,58748,0,800010700,SURF EXCEL,Household,356,Detergents,364,DETERGENTS,816,SURF EXCEL QUICK WASH,816,0,SURF EXCEL QUICK WASH,"[{'_id': '77811', 'pic': 'uploads/product/206404.jpg', 'pic_thumb': ''}, {'_id': '80739', 'pic': 'uploads/product/206404.jpg', 'pic_thumb': ''}, {'_id': '83921', 'pic': 'uploads/product/206404.jpg', 'pic_thumb': ''}, {'_id': '87103', 'pic': 'uploads/product/206404.jpg', 'pic_thumb': ''}, {'_id': '90285', 'pic': 'uploads/product/206404.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1206612', 'specification': 'Description', 'value': 'SURF EXCEL QUICK WASH'}]",SURF EXCEL QUICK WASH,0
2120578,,,57742,0,1,279,0,,153.64,237.0,750 ML,,1006750,10,18,57742,0,800010700,FROSCH,Household,356,Cleaning Accessories,357,TOILET CLEANER,814,LAVENDER TOILET BOWL CLEANER,814,0,LAVENDER TOILET BOWL CLEANER,"[{'_id': '77828', 'pic': 'uploads/product/208803.jpg', 'pic_thumb': ''}, {'_id': '80667', 'pic': 'uploads/product/208803.jpg', 'pic_thumb': ''}, {'_id': '83849', 'pic': 'uploads/product/208803.jpg', 'pic_thumb': ''}, {'_id': '87031', 'pic': 'uploads/product/208803.jpg', 'pic_thumb': ''}, {'_id': '90213', 'pic': 'uploads/product/208803.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1206469', 'specification': 'Description', 'value': 'LAVENDER TOILET BOWL CLEANER'}]",LAVENDER TOILET BOWL CLEANER,0
2119579,,,60358,0,1,310,0,,230.35,310.0,250 ML,,2113555,10,18,60358,0,800010700,AIRWICK,Household,356,Fresheners,819,AIR FRESHNERS,820,"AIRWICK ROOM FRESHENER - FRESHMATIC, REFILL LIFE SCENTS TURQUOISE OASIS 250 ML",820,0,"AIRWICK ROOM FRESHENER - FRESHMATIC, REFILL LIFE SCENTS TURQUOISE OASIS 250 ML","[{'_id': '91486', 'pic': 'uploads/product/211493.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1233543', 'specification': 'Description', 'value': 'AIRWICK ROOM FRESHENER - FRESHMATIC, REFILL LIFE SCENTS TURQUOISE OASIS 250 ML'}, {'_id': '1233544', 'specification': 'About', 'value': 'Enhance your home’s scent story with Air Wick Life Scents Turquoise Oasis Freshmatic Ultra Automatic Spray. Air Wick Life Scents Collection is the first constantly changing fragrance, to create a welcoming atmosphere in your home.\r\n\r\nAir Wick Freshmatic Ultra Automatic Sprays release bursts of continuous fresh fragrance so your home always smells welcoming. Just set the air freshener to your preferred fragrance intensity setting and enjoy while the Turquoise Oasis refill fragrances your home.'}]","AIR FRESHNERS, FRESHNERS,FRESHNER",0
2119606,,,60385,0,1,86,0,,66.25,86.0,500 ML,,2113582,10,18,60385,0,800010700,HARPIC,Household,356,Cleaning Accessories,357,TOILET CLEANER,814,HARP.POWER OPTHK ORANGE 500ML 5X,814,0,HARP.POWER OPTHK ORANGE 500ML 5X,"[{'_id': '91513', 'pic': 'uploads/product/206266.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1206546', 'specification': 'Description', 'value': 'HARP.POWER OPTHK ORANGE 500ML 5X'}]",TOILET CLEANER,0
2120504,,,58385,0,1,130,0,,83.73,130.0,500 ML,,1006280,9,18,58385,0,800010700,HERBAL STRATEGI,Household,356,Cleaning Accessories,357,HERBAL,812,TOILET DISINFECTANT & BATHROOM CLEANER,812,0,TOILET DISINFECTANT & BATHROOM CLEANER,"[{'_id': '74994', 'pic': ' uploads/product/211092.jpg ', 'pic_thumb': ''}, {'_id': '75488', 'pic': ' uploads/product/211092.jpg ', 'pic_thumb': ''}, {'_id': '75916', 'pic': ' uploads/product/211092.jpg ', 'pic_thumb': ''}, {'_id': '76340', 'pic': ' uploads/product/211092.jpg ', 'pic_thumb': ''}, {'_id': '76781', 'pic': ' uploads/product/211092.jpg ', 'pic_thumb': ''}, {'_id': '77206', 'pic': ' uploads/product/211092.jpg ', 'pic_thumb': ''}, {'_id': '78443', 'pic': 'uploads/product/211092.jpg', 'pic_thumb': ''}, {'_id': '81625', 'pic': 'uploads/product/211092.jpg', 'pic_thumb': ''}, {'_id': '84807', 'pic': 'uploads/product/211092.jpg', 'pic_thumb': ''}, {'_id': '87989', 'pic': 'uploads/product/211092.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1206457', 'specification': 'Description', 'value': 'TOILET DISINFECTANT & BATHROOM CLEANER'}]",TOILET DISINFECTANT & BATHROOM CLEANER,0
2120512,,,59200,0,1,140,0,,87.5,140.0,3 PC,,2007728,9,12,59200,0,800010700,GALA,Household,356,Cleaning Accessories,357,CLEANERS,809,Gala Sponge Wipe 5Pcs Set,809,0,Sponge Wipe,"[{'_id': '78355', 'pic': 'uploads/product/211235.jpg', 'pic_thumb': ''}, {'_id': '78356', 'pic': 'uploads/product/211234.jpeg', 'pic_thumb': ''}, {'_id': '78357', 'pic': 'uploads/product/211233.jpg', 'pic_thumb': ''}, {'_id': '81537', 'pic': 'uploads/product/211235.jpg', 'pic_thumb': ''}, {'_id': '81538', 'pic': 'uploads/product/211234.jpeg', 'pic_thumb': ''}, {'_id': '81539', 'pic': 'uploads/product/211233.jpg', 'pic_thumb': ''}, {'_id': '84719', 'pic': 'uploads/product/211235.jpg', 'pic_thumb': ''}, {'_id': '84720', 'pic': 'uploads/product/211234.jpeg', 'pic_thumb': ''}, {'_id': '84721', 'pic': 'uploads/product/211233.jpg', 'pic_thumb': ''}, {'_id': '87901', 'pic': 'uploads/product/211235.jpg', 'pic_thumb': ''}, {'_id': '87902', 'pic': 'uploads/product/211234.jpeg', 'pic_thumb': ''}, {'_id': '87903', 'pic': 'uploads/product/211233.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1206493', 'specification': 'Description', 'value': 'Gala Sponge Wipe 5Pcs Set'}]",Sponge Wipe,0
2124951,,,61027,0,1,125,0,,66.96,125.0,250 ML,,2121455,9,12,61027,0,800010700,FRESHEE,Household,356,Paper & Disposable,724,TISSUE & WIPES,831,Aluminium Container 250Ml,831,0,Aluminium Container 250Ml,"[{'_id': '92218', 'pic': 'uploads/product/213273.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1206883', 'specification': 'Description', 'value': 'Aluminium Container 250Ml'}]",Tissue & Wipes,0
2120437,,,59118,0,1,70,0,,54.92,70.0,500 GM,,2007680,9,18,59118,0,800010700,ARIEL,Household,356,Detergents,364,DETERGENTS,816,POWDER PERFECT WASH,816,0,POWDER PERFECT WASH,"[{'_id': '78262', 'pic': 'uploads/product/211419.jpg', 'pic_thumb': ''}, {'_id': '81444', 'pic': 'uploads/product/211419.jpg', 'pic_thumb': ''}, {'_id': '84626', 'pic': 'uploads/product/211419.jpg', 'pic_thumb': ''}, {'_id': '87808', 'pic': 'uploads/product/211419.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1233483', 'specification': 'Description', 'value': 'POWDER PERFECT WASH'}, {'_id': '1233484', 'specification': 'About', 'value': 'Ariel removes tough stains in 1 wash, in whichever format that best suits your needs. From washing powder to washing liquid, our detergents will help you remove even the most stubborn stains, while keeping your whites brilliant and your colours bright, load after load.'}]",POWDER PERFECT WASH,0
2128299,,,61938,0,1,50,0,,29.661,50.0,200 GM,,2127531,9,18,61938,0,800010700,WILD IDEAS,Household,356,Kitchen & Dining,373,DISH WASH,826,natural dish wash powder 200 gm,826,0,Natural Dish Wash Powder 200 Gm,"[{'_id': '93233', 'pic': 'uploads/product/212671.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1206865', 'specification': 'Description', 'value': 'natural dish wash powder 200 gm'}]",DISH WASH,0
