,Product_Category,Product_Name,Regular_Price,Sale_Price
88,grocery-and-staples,Salt Powder 24 Carat Town 1 Kg,23,21
89,grocery-and-staples,Mustard Black Organic Town 100 g,24,22
90,grocery-and-staples,Maida Town 500 Gms,26,23
91,grocery-and-staples,Sugar Bura Town 200 Gms,25,23
92,grocery-and-staples,Mustard Yellow Town 100 Gms,26,23
93,grocery-and-staples,Sugar Diamond White Town 200Gms,26,23
94,grocery-and-staples,Gulabi Gram 18 Carat Town 250 Gms,26,23
95,grocery-and-staples,Sooji Regular Town 500 Gms,26,23
96,grocery-and-staples,Palav Leaves (Bay Leaf) Town 50 Gms,25,23
97,grocery-and-staples,Lemon Salt Town 50 Gms,25,23
98,grocery-and-staples,Corn Flour Town 100 Gms,26,23
99,grocery-and-staples,Tasting Powder Town 50 Gms,25,23
100,grocery-and-staples,Sugar Breakfast Town 200 Gms,25,23
101,grocery-and-staples,Sugar Icing Town 200 Gms,25,23
102,grocery-and-staples,Cooking Soda 100gms,25,23
103,grocery-and-staples,Sprinklers Sendha Namak Catch 50Gms,24,23
104,grocery-and-staples,Gulabi Gram 24 Carat Town 250 Gms,28,25
105,grocery-and-staples,Macaroni Town 200 Gms,28,25
106,grocery-and-staples,Wheat Broken Town 250 Gms,30,27
107,grocery-and-staples,Turmeric Powder Prasastha 100 Gms,28,27
108,grocery-and-staples,Til Ram Town 100 Gms,31,28
109,grocery-and-staples,Fried Gram 18 Carat Town 250 Gms,31,28
110,grocery-and-staples,Coriander Powder Eastern 100Gms,30,29
111,grocery-and-staples,Black Salt Crystal Town 200 g,31,29
112,grocery-and-staples,Sprinklers Dahi Masala Catch 50Gms,30,29
113,grocery-and-staples,Red Chilli Powder (De Stemmed) Prasastha 100 Gms,30,29
114,grocery-and-staples,Gulabi Gram staff Town 250 Gms,33,30
115,grocery-and-staples,Salt Crystal Town 1 Kg (Pack of 2),33,30
116,grocery-and-staples,Turmeric Powder MTR 100 Gms,32,30
117,grocery-and-staples,Jeera Powder Town 50 Gms,33,30
118,grocery-and-staples,Sprinklers Iodized Table Salt Catch 200Gms,32,30
119,grocery-and-staples,Avalakki (Poha) Thick Staff Town 500g,34,31
120,grocery-and-staples,Sabakki (Sabudana) Nylon Town 250 Gms,34,31
121,grocery-and-staples,Sabbakki Special Small (Sabudana small) Town 250 Gms,34,31
122,grocery-and-staples,Flax Seeds Organic Town 100 gm,34,31
123,grocery-and-staples,Marati Moggu Town 25 Gms,34,31
124,grocery-and-staples,Garam Masala Nisarga 100 Gms,40,32
125,grocery-and-staples,Till White Organic Town 100 Gms,36,32
126,grocery-and-staples,Ragi Flour 24 Carat Town 500gms,35,32
127,grocery-and-staples,Karamani 24 Carat Town 250 Gms,36,32
128,grocery-and-staples,Gram Flour 18 Carat Town 250 Gms,35,32
129,grocery-and-staples,Peas White 24 Carat Town 250 Gms,35,32
130,grocery-and-staples,Til White Town 100 Gms,36,32
131,grocery-and-staples,Chilli Powder Eastern 100Gms,35,33
132,grocery-and-staples,Papad Rice Town 100 Gms,43,34
133,grocery-and-staples,Green Moong Staff Town 250 Gms,39,35
134,grocery-and-staples,Sprinklers Black Salt Catch 200Gms,37,35
135,grocery-and-staples,Jaggery Liquid Town 250 Gms,45,36
136,grocery-and-staples,Coriander Powder Town 100 Gms,40,36
137,grocery-and-staples,Karamani White 18 Carat Town 250 Gms,40,36
138,grocery-and-staples,Moong Green 24 Carat Town 250 Gms,40,36
139,grocery-and-staples,Guntur Chilly 24 Carat Town 100 Gms,40,36
140,grocery-and-staples,Vermicelli Town 500 Gms,46,37
141,grocery-and-staples,Groundnut staff Town 250 Gms,41,37
142,grocery-and-staples,Til Nylon Town 100 Gms,41,37
